item,qty_per_unit,part,spec,source,unit_price_usd,price_before_usd,price_100_usd,price_basis,verified,notes
Actuator unit,3,1 x 8318 100KV outrunner + 25/40-lobe cycloid + housing + driver + encoder (docs/design/bom-actuator.csv with the motor lines swapped),"yaw 40-lobe hollow, knee 40-lobe hollow, femur 25-lobe; 2.45 kg each as costed","analysis/cost_search.py '1 x 8318 outrunner, 100:1'",423.05,605.05,284.16,cost_search.json roll-up of the actuator BOM lines at 20 / 100 units; price_before is the PCB two-stator unit,partly,"Motor price from listings (GBP 49 / Alibaba), reducer and housing lines are estimates; the capstan lines of that BOM (drum, sector, rope, tensioner) are replaced by the leg lines below and are not double counted here: $58 / $36 of them are deducted on the next line"
"Capstan lines of the unit BOM, deducted",3,"capstan drum, sector, rope, tensioner of bom-actuator.csv","the leg carries its own drums, sectors, ropes and tensioners below",docs/design/bom-actuator.csv,-58.0,0,-36.0,the actuator BOM's capstan block at 20 / 100 (08-actuator-design.md 9.12),partly,
Unit delta: belt drive,3,"HTD 5M 24T aluminium pulley x 2 + HTD 5M-375-15 belt, per unit",1:1 from the motor beside the module to the hollow eccentric sleeve (cad/leg/leg.py),belt distributor,22,0,15,"typical: two 24T 5M pulleys ~$8 each, belt ~$6",no,Replaces the coaxial motor of the costed unit; 140 g per unit
Unit delta: hollow eccentric sleeve + bearings,2,hollow eccentric sleeve (bore 22 knee / 32 yaw) on HK3512 / HK4012 instead of the solid Ø25 eccentric on HK2512,knee and yaw modules only; the femur module keeps the costed eccentric,turned 42CrMo4 + bearing distributor,30,0,18,"estimate: a larger turned eccentric ($25 vs $35 costed, but two HK3512/HK4012 at $5)",no,"PTI HK3512 C0r 20.25 kN, HK4012 C0r 23.1 kN (docs/reference/pti-hk-series.pdf); +90 g per module"
Unit delta: yaw output bearing,1,RB7013 / CRB7013 crossed roller instead of the RB5013 / CRB5013 of the costed unit,"70 x 100 x 13; THK 382-5E: C 19.4 kN, C0 27.7 kN, 0.35 kg",Luoyang-class CRB7013; THK as alternate,20,0,12,estimate: the price step from a Chinese CRB5013 ($45) to a CRB7013 (~$65); THK list is ~$250,no,Static moment SF 1.9 at the stumble foot load (analysis/leg_loads.py); +80 g
Yaw flange,1,"turned 6061 ring, r 19..50 x 6, bolted to the RB7013 inner ring",109 g; carries the coxa hub plates,"turned, 20 pcs",18,0,11,estimate,no,
"Hub plate, top",1,"laser-cut 6 mm 6061, 92 x 52 + r 42 disc, HK4012 seat bored",94 g; knee drum upper bearing,"laser-cut + bored, 20 pcs",12,0,7,estimate,no,
"Hub plate, middle",1,"laser-cut 6 mm 6061, r 26 disc, HK3012 seat bored",77 g; knee drum lower bearing,"laser-cut + bored, 20 pcs",10,0,6,estimate,no,
"Hub plate, bottom",1,"laser-cut 6 mm 6061, r 22 disc, HK2512 seat bored",77 g; femur drum lower bearing; the femur rope B passes it at 1.5 mm (leg-rom),"laser-cut + bored, 20 pcs",10,0,6,estimate,no,
Hub standoff,5,"6061 Ø10 x 84, tapped M6 both ends",19 g each,"turned, 100 pcs",3,0,2,estimate,no,
